orig Songs Names,Sampling Song Names,Start of Sample,Start of sample in orig song
Think (About It) [ Lyn Collins ],"So Appalled [ Kanye West, Swizz Beatz and Jay-Z feat. Pusha T, CyHi the Prynce and RZA ]",['0:22'],['1:26']
Think (About It) [ Lyn Collins ],Gosh [ Jamie xx ],['0:06'],['2:05']
Think (About It) [ Lyn Collins ],Murder in My Mind [ Kordhell ],['0:18'],['1:24']
Think (About It) [ Lyn Collins ],"Lost in the World [ Kanye West feat. Bon Iver, Alicia Keys and Charlie Wilson ]","['0:59', '1:05']","['2:24', '1:24']"
Think (About It) [ Lyn Collins ],CHURCH GIRL [ Beyoncé ],"['1:06', '1:08']",['2:05']
Think (About It) [ Lyn Collins ],Freestyler [ Bomfunk MC's ],"['0:31', '0:53', '1:08']",['1:37']
Think (About It) [ Lyn Collins ],You Already Know [ Fergie feat. Nicki Minaj ],"['0:25', '1:24', '3:15']","['1:23', '1:27', '1:39']"
Think (About It) [ Lyn Collins ],Nobody to Love [ Sigma ],['0:04'],['1:36']
Think (About It) [ Lyn Collins ],Call Ticketron [ Run the Jewels ],['0:18'],['1:24']
Think (About It) [ Lyn Collins ],Dance With the Devil [ Immortal Technique ],['1:29'],['0:34']
Think (About It) [ Lyn Collins ],"이브, 프시케 그리고 푸른 수염의 아내 (Eve, Psyche & the Bluebeard’s Wife) [ Le Sserafim ]",['0:07'],['1:24']
Think (About It) [ Lyn Collins ],Musician [ Porter Robinson ],['1:40'],['1:24']
Think (About It) [ Lyn Collins ],Optimism Over Despair [ Konx-Om-Pax ],['2:30'],['1:24']
Change the Beat (Female Version) [ Beside ],Thrift Shop [ Macklemore and Ryan Lewis feat. Wanz ],['2:00'],['3:37']
Change the Beat (Female Version) [ Beside ],Paid in Full [ Eric B. & Rakim ],['2:14'],['3:36']
Change the Beat (Female Version) [ Beside ],Right Here [ Justin Bieber feat. Drake ],['0:01'],['3:37']
Change the Beat (Female Version) [ Beside ],Rockit [ Herbie Hancock ],['2:52'],['3:40']
Change the Beat (Female Version) [ Beside ],AMERICA HAS a PROBLEM [ Beyoncé ],['0:29'],['3:37']
Change the Beat (Female Version) [ Beside ],So Far... [ Eminem ],['0:00'],['3:41']
Change the Beat (Female Version) [ Beside ],Finally Moving [ Pretty Lights ],['0:57'],['3:37']
Change the Beat (Female Version) [ Beside ],I'm a Slave 4 U [ Britney Spears ],['1:42'],['3:37']
Change the Beat (Female Version) [ Beside ],Hey Young World [ Slick Rick ],['4:07'],['3:40']
Change the Beat (Female Version) [ Beside ],Yo Perreo Sola [ Bad Bunny and Nesi ],['0:00'],['3:41']
Change the Beat (Female Version) [ Beside ],P.S.K. - What Does It Mean? [ Schoolly D ],['0:23'],['3:41']
Change the Beat (Female Version) [ Beside ],Rhythm Rock Rapp [ Daniel Sofer feat. The Unknown DJ and Dr. Dre ],['0:05'],['3:41']
Change the Beat (Female Version) [ Beside ],Cure for the Itch [ Linkin Park ],['0:25'],['3:36']
Change the Beat (Female Version) [ Beside ],Lamborghini [ Trenchcoat ],"['0:06', '0:09']",['3:41']
Change the Beat (Female Version) [ Beside ],Pump Up the Volume [ M|A|R|R|S ],['3:24'],['3:37']
Change the Beat (Female Version) [ Beside ],Catchin' the Vibe [ Quasimoto ],['1:41'],['3:37']
Funky Drummer [ James Brown ],"Let Me Ride [ Dr. Dre feat. Snoop Dogg, Jewell and RC ]",['1:08'],['5:36']
Funky Drummer [ James Brown ],Fight the Power [ Public Enemy ],['0:13'],['5:34']
Funky Drummer [ James Brown ],The Originators [ Jaz feat. Jay-Z ],['0:17'],['5:35']
Funky Drummer [ James Brown ],Rebel Without a Pause [ Public Enemy ],['0:12'],['5:35']
Funky Drummer [ James Brown ],Fuck Tha Police [ N.W.A ],['2:17'],['5:35']
Funky Drummer [ James Brown ],Powerpuff Girls Theme [ James L. Venable ],['0:32'],['5:35']
Funky Drummer [ James Brown ],Mathematics [ Mos Def ],['2:24'],['5:33']
Funky Drummer [ James Brown ],Mama Said Knock You Out [ LL Cool J ],['0:11'],['5:35']
Funky Drummer [ James Brown ],"The Morning [ Raekwon, Pusha T, Common and 2 Chainz feat. Kid Cudi, CyHi the Prynce and D'Banj ]",['0:39'],['5:41']
Funky Drummer [ James Brown ],Bring the Noise [ Public Enemy ],['1:07'],['5:35']
Funky Drummer [ James Brown ],Save Me [ Nicki Minaj ],['0:00'],['5:36']
Funky Drummer [ James Brown ],Freedom! '90 [ George Michael ],['0:46'],['5:35']
Funky Drummer [ James Brown ],Premier's X-Ecution [ X-Ecutioners feat. DJ Premier ],['1:23'],['5:42']
Funky Drummer [ James Brown ],Scarlet Begonias [ Sublime ],['0:01'],['5:34']
Funky Drummer [ James Brown ],The Cool [ Lupe Fiasco ],['0:12'],['5:34']
Funky Drummer [ James Brown ],Run's House [ Run-DMC ],['0:08'],['5:35']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Hypnotize [ The Notorious B.I.G. ],['0:51'],['4:00']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Party [ Beyoncé feat. André 3000 ],['0:02'],['0:00']
La Di Da Di [ Doug E. Fresh and Slick Rick ],We Can't Stop [ Miley Cyrus ],['0:38'],['1:10']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Auditorium [ Mos Def feat. Slick Rick ],['3:21'],['1:02']
La Di Da Di [ Doug E. Fresh and Slick Rick ],"Good Friday [ Kanye West, Common, Pusha T and Big Sean feat. Kid Cudi and Charlie Wilson ]",['0:39'],['0:48']
La Di Da Di [ Doug E. Fresh and Slick Rick ],"Hold It Now, Hit It [ Beastie Boys ]",['0:03'],['0:47']
La Di Da Di [ Doug E. Fresh and Slick Rick ],We Like to Party! [ Vengaboys ],['0:14'],['1:11']
La Di Da Di [ Doug E. Fresh and Slick Rick ],O.P.P. [ Naughty  Nature ],['1:15'],['0:49']
La Di Da Di [ Doug E. Fresh and Slick Rick ],I Wanna Sex You Up [ Color Me Badd ],['0:08'],['4:36']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Millionaire [ Kelis feat. André 3000 ],"['3:22', '3:25']","['2:50', '2:27']"
La Di Da Di [ Doug E. Fresh and Slick Rick ],Here Comes the Hotstepper [ Ini Kamoze ],['0:04'],['0:47']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Showtime [ Spit Syndicate feat. Solo ],['2:35'],['1:20']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Fried Noodles [ Pink Guy ],"['0:23', '1:35']",['4:00']
La Di Da Di [ Doug E. Fresh and Slick Rick ],"Pepper [ Flowdan, Lil Ba and Skrillex ]",['1:04'],['1:10']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Rock DJ [ Robbie Williams ],['1:21'],['1:19']
La Di Da Di [ Doug E. Fresh and Slick Rick ],Runaway Love [ Ludacris feat. Mary J. Blige ],['0:19'],['0:47']
Bring the Noise [ Public Enemy ],Everything I Am [ Kanye West feat. DJ Premier ],['1:05'],['0:49']
Bring the Noise [ Public Enemy ],Bass (How Low Can You Go) [ Simon Harris ],"['0:11', '0:47']","['0:14', '0:48']"
Bring the Noise [ Public Enemy ],How Low [ Ludacris ],['0:10'],['0:16']
Bring the Noise [ Public Enemy ],I'm Back [ Eminem ],['2:04'],['0:20']
Bring the Noise [ Public Enemy ],Here We Go Again! [ Portrait ],['0:02'],['0:49']
Bring the Noise [ Public Enemy ],Guess Who's Back [ Rakim ],['0:03'],['0:19']
Bring the Noise [ Public Enemy ],"Total Confusion (Confusion Mix) [ A Homeboy, a Hippie & a Funki Dredd ]",['0:32'],['1:30']
Bring the Noise [ Public Enemy ],Concrete Jungle (1999) [ Bob Marley and The Wailers feat. Rakim ],['0:28'],['1:25']
Bring the Noise [ Public Enemy ],Much More [ De La Soul feat. Yummy Bingham ],['0:15'],['0:49']
Bring the Noise [ Public Enemy ],Showdown [ Pendulum ],['2:03'],['0:49']
Bring the Noise [ Public Enemy ],Safe 2 Say (The Incredible) [ Fat Joe ],['0:21'],['0:19']
Bring the Noise [ Public Enemy ],Undisputed [ Prince feat. Chuck D ],['0:56'],['0:19']
Bring the Noise [ Public Enemy ],Plug Tunin' [ De La Soul ],['1:21'],['0:18']
Bring the Noise [ Public Enemy ],Black Steel in the Hour of Chaos [ Public Enemy ],"['2:36', '5:19', '5:41']","['0:17', '0:33']"
Bring the Noise [ Public Enemy ],Crossover [ EPMD ],['0:43'],['0:13']
Bring the Noise [ Public Enemy ],Egg Man [ Beastie Boys ],['1:35'],['0:32']
Funky President (People It's Bad) [ James Brown ],"Clique [ Kanye West, Big Sean and Jay-Z ]",['1:14'],['0:10']
Funky President (People It's Bad) [ James Brown ],3005 [ Childish Gambino ],['1:33'],['0:10']
Funky President (People It's Bad) [ James Brown ],"Live Fast, Die Young [ Rick Ross feat. Kanye West ]",['0:06'],['0:10']
Funky President (People It's Bad) [ James Brown ],Summertime [ DJ Jazzy Jeff & the Fresh Prince ],['0:07'],['0:01']
Funky President (People It's Bad) [ James Brown ],HYAENA [ Travis Scott ],['2:35'],['0:10']
Funky President (People It's Bad) [ James Brown ],Runaway (Video Version) [ Kanye West feat. Pusha T ],['2:12'],['0:10']
Funky President (People It's Bad) [ James Brown ],Hip Hop Hooray [ Naughty  Nature ],['0:13'],['0:06']
Funky President (People It's Bad) [ James Brown ],Push the Feeling On [ Nightcrawlers ],['1:01'],['0:01']
Funky President (People It's Bad) [ James Brown ],New God Flow [ Pusha T and Kanye West ],['0:19'],['0:10']
Funky President (People It's Bad) [ James Brown ],Mighty Healthy [ Ghostface Killah ],['0:23'],['0:10']
Funky President (People It's Bad) [ James Brown ],Eric B. Is President (Original Mix) [ Eric B. feat. Rakim ],['0:08'],['0:01']
Funky President (People It's Bad) [ James Brown ],The Fresh Prince of Bel-Air (Outro) [ DJ Jazzy Jeff & the Fresh Prince ],['0:04'],['0:22']
Funky President (People It's Bad) [ James Brown ],Sadeness [ Enigma ],['0:08'],['0:00']
Funky President (People It's Bad) [ James Brown ],Fuck Tha Police [ N.W.A ],['0:39'],['0:01']
Funky President (People It's Bad) [ James Brown ],Nicety [ Michel'le feat. Dr. Dre ],['0:03'],['0:09']
Funky President (People It's Bad) [ James Brown ],We Get High [ Logic ],['1:09'],['0:10']
Synthetic Substitution [ Melvin Bliss ],Bring Da Ruckus [ Wu-Tang Clan ],['0:19'],['0:00']
Synthetic Substitution [ Melvin Bliss ],New God Flow [ Pusha T and Kanye West ],['0:18'],['0:00']
Synthetic Substitution [ Melvin Bliss ],O.P.P. [ Naughty  Nature ],['0:11'],['0:02']
Synthetic Substitution [ Melvin Bliss ],Ego Trippin' [ Ultramagnetic MC's ],['0:01'],['0:00']
Synthetic Substitution [ Melvin Bliss ],Don't Believe the Hype [ Public Enemy ],['0:00'],['0:02']
Synthetic Substitution [ Melvin Bliss ],You Be Killin' 'Em [ Fabolous ],['0:00'],['0:00']
Synthetic Substitution [ Melvin Bliss ],DWYCK [ Gang Starr feat. Nice & Smooth ],['0:15'],['0:02']
Synthetic Substitution [ Melvin Bliss ],Mighty Healthy [ Ghostface Killah ],['0:26'],['0:02']
Synthetic Substitution [ Melvin Bliss ],My Life [ 50 Cent feat. Eminem and Adam Levine ],['0:16'],['0:00']
Synthetic Substitution [ Melvin Bliss ],Code of the Streets [ Gang Starr ],['0:11'],['0:02']
Synthetic Substitution [ Melvin Bliss ],The Champ (Original Version) [ Ghostface Killah ],['0:29'],['0:02']
Synthetic Substitution [ Melvin Bliss ],Black Balloons Reprise [ Flying Lotus feat. Denzel Curry ],['0:30'],['0:00']
Synthetic Substitution [ Melvin Bliss ],Knock the Hustle [ Cozz ],['0:00'],['0:00']
Synthetic Substitution [ Melvin Bliss ],All I Need [ Method Man feat. Streetlife ],['0:10'],['0:02']
Synthetic Substitution [ Melvin Bliss ],Clan in Da Front [ Wu-Tang Clan ],['1:32'],['0:00']
Synthetic Substitution [ Melvin Bliss ],Extreme Ways [ Mo ],['0:10'],['0:02']
Here We Go (Live at the Funhouse) [ Run-DMC ],Headshots (4r Da Locals) [ Isaiah Rashad ],['1:50'],['0:04']
Here We Go (Live at the Funhouse) [ Run-DMC ],Untitled (X Side) [ Sensate Focus ],['8:40'],['0:04']
Here We Go (Live at the Funhouse) [ Run-DMC ],호르몬 전쟁 War of Hormone [ BTS ],['0:26'],['0:04']
Here We Go (Live at the Funhouse) [ Run-DMC ],Ah Yeah! [ Will Sparks ],"['1:06', '1:51', '2:06', '2:21']",['0:04']
Here We Go (Live at the Funhouse) [ Run-DMC ],Mike Vick [ Action Bronson and The Alchemist ],['0:07'],['0:00']
Here We Go (Live at the Funhouse) [ Run-DMC ],One Eleven [ J Dilla ],['0:05'],['0:05']
Here We Go (Live at the Funhouse) [ Run-DMC ],Check This Out [ Hardhouse ],['1:06'],['0:05']
Here We Go (Live at the Funhouse) [ Run-DMC ],Pump Up the Volume (UK Remix) [ M|A|R|R|S ],['1:19'],['0:05']
Here We Go (Live at the Funhouse) [ Run-DMC ],Crush on You (Knife Party Remix) [ Nero ],['0:17'],['0:04']
Here We Go (Live at the Funhouse) [ Run-DMC ],C'est Pas Du Rap... [ Bigflo & Oli ],['3:00'],['0:04']
Here We Go (Live at the Funhouse) [ Run-DMC ],Let Me See It [ UGK ],['0:15'],['0:05']
Here We Go (Live at the Funhouse) [ Run-DMC ],Old School [ DANGER DOOM feat. Talib Kweli ],['0:06'],['0:09']
Here We Go (Live at the Funhouse) [ Run-DMC ],It's Like That (Jason's Battle Blaster) [ Run-DMC and Jason Nevins ],"['0:09', '2:39']","['0:36', '0:08']"
Here We Go (Live at the Funhouse) [ Run-DMC ],Throw Your Set in the Air [ Cypress Hill ],['1:18'],['0:49']
Here We Go (Live at the Funhouse) [ Run-DMC ],Body Movin' [ J Dilla ],"['0:11', '0:57']","['0:31', '0:32']"
Here We Go (Live at the Funhouse) [ Run-DMC ],People [ J Dilla ],['0:12'],['0:06']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Fools Gold [ The Stone Roses ],['0:03'],['0:09']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Frozen [ Madonna ],['0:55'],['0:09']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Raw [ Big Daddy Kane ],"['0:00', '0:10']","['0:09', '0:01']"
Hot Pants (Bonus Beats) [ Bobby Byrd ],Wannabe [ Spice Girls ],['0:49'],['0:08']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Lane Boy [ Twenty One Pilots ],['2:55'],['0:08']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Everybody Everybody [ Black Box feat. Martha Wash ],['0:09'],['0:09']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Pump Up the Volume (UK Remix) [ M|A|R|R|S ],['3:45'],['0:09']
Hot Pants (Bonus Beats) [ Bobby Byrd ],What to Do [ Thomas Bangalter ],['0:14'],['0:09']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Good Vibrations [ Marky Mark and the Funky Bunch feat. Loleatta Holloway ],['0:03'],['0:09']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Halcyon [ Orbital ],['1:00'],['0:08']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Charly (Alley Cat Mix) [ The Prodigy ],['0:00'],['0:08']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Sehnsucht [ Rammstein ],['2:42'],['0:08']
Hot Pants (Bonus Beats) [ Bobby Byrd ],PAPAT4 (Pineal Mix) [ Aphex Twin ],['0:24'],['0:08']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Sweet Harmony [ Liquid ],['0:21'],['0:08']
Hot Pants (Bonus Beats) [ Bobby Byrd ],Radio Babylon [ Meat Beat Manifesto ],['0:16'],['0:09']
Hot Pants (Bonus Beats) [ Bobby Byrd ],I'm Too Sexy [ Right Said Fred ],['0:09'],['0:09']
Long Red [ Mountain ],Ghetto Symphony [ A$AP Rocky feat. Gunplay and A$AP Ferg ],['1:27'],['0:07']
Long Red [ Mountain ],Born to Die [ Lana Del Rey ],['0:14'],['0:05']
Long Red [ Mountain ],99 Problems [ Jay-Z ],['0:07'],['0:01']
Long Red [ Mountain ],Barry Bonds [ Kanye West feat. Lil Wayne ],['0:27'],['0:22']
Long Red [ Mountain ],Wouldn't Get Far [ The Game feat. Kanye West ],['0:01'],"['0:08', '0:22']"
Long Red [ Mountain ],It Ain't Hard to Tell [ Nas ],['0:02'],['0:22']
Long Red [ Mountain ],Love Yourz [ J. Cole ],['1:13'],['0:21']
Long Red [ Mountain ],The People [ Common feat. Dwele ],['0:03'],"['0:08', '0:22']"
Long Red [ Mountain ],Fire Squad [ J. Cole ],['0:12'],['0:22']
Long Red [ Mountain ],The Glory [ Kanye West ],['0:16'],['0:03']
Long Red [ Mountain ],Gin and Juice [ Snoop Dogg feat. Daz Dillinger ],['0:48'],['0:00']
Long Red [ Mountain ],Lord Knows [ Drake feat. Rick Ross ],['3:55'],['0:00']
Long Red [ Mountain ],Stepson of the Clapper [ J Dilla ],['0:01'],['0:01']
Long Red [ Mountain ],No Stylist [ French Montana feat. Drake ],"['0:39', '1:05']","['0:07', '0:21']"
Long Red [ Mountain ],She Needs Me [ Kendrick Lamar feat. Javonte ],"['0:52', '0:57']","['0:08', '0:22']"
Long Red [ Mountain ],Eric B. Is President (Original Mix) [ Eric B. feat. Rakim ],['0:54'],['0:10']
Impeach the President [ The Honey Drippers ],Wet Dreamz [ J. Cole ],['0:20'],['0:00']
Impeach the President [ The Honey Drippers ],Unbelievable [ The Notorious B.I.G. ],['0:00'],['0:00']
Impeach the President [ The Honey Drippers ],Can't Wait [ Doja Cat ],['0:00'],['0:01']
Impeach the President [ The Honey Drippers ],Top Billin' [ Audio Two ],['0:00'],['0:00']
Impeach the President [ The Honey Drippers ],The Message [ Nas ],['0:16'],['0:00']
Impeach the President [ The Honey Drippers ],I Can [ Nas ],['0:00'],['0:00']
Impeach the President [ The Honey Drippers ],I Get Around [ 2Pac feat. Shock G and Money-B ],['0:03'],['0:00']
Impeach the President [ The Honey Drippers ],Ring Ring Ring (Ha Ha Hey) [ De La Soul ],['0:09'],['0:00']
Impeach the President [ The Honey Drippers ],Around the Way Girl [ LL Cool J ],['1:04'],['0:00']
Impeach the President [ The Honey Drippers ],The Chronic (Intro) [ Dr. Dre feat. Snoop Dogg ],['0:09'],['0:00']
Impeach the President [ The Honey Drippers ],My House [ Flo Rida ],['0:10'],['0:00']
Impeach the President [ The Honey Drippers ],Rebirth of Slick (Cool Like Dat) [ Digable Planets ],['0:14'],['0:01']
Impeach the President [ The Honey Drippers ],Jump [ Kris Kross ],['0:03'],['0:00']
Impeach the President [ The Honey Drippers ],That's the Way Love Goes [ Janet Jackson ],['0:14'],['0:00']
Impeach the President [ The Honey Drippers ],The Bridge [ MC Shan ],"['0:10', '0:19']","['0:00', '0:04']"
Impeach the President [ The Honey Drippers ],Fakin Jax [ INI feat. Pete Rock ],['0:25'],['0:00']
The Champ [ The Mohawks ],Step Into a World (Rapture's Delight) [ KRS-One ],['0:18'],['0:00']
The Champ [ The Mohawks ],Nikes [ Frank Ocean ],['2:47'],['0:00']
The Champ [ The Mohawks ],Slam [ Onyx ],['0:10'],['0:00']
The Champ [ The Mohawks ],Soul Food [ Logic ],['2:42'],['0:00']
The Champ [ The Mohawks ],Eric B. Is President (Original Mix) [ Eric B. feat. Rakim ],"['0:52', '1:48']",['0:00']
The Champ [ The Mohawks ],Here Comes the Hotstepper [ Ini Kamoze ],['0:00'],['0:00']
The Champ [ The Mohawks ],Friday [ Ice Cube ],['0:01'],['0:00']
The Champ [ The Mohawks ],Chief Rocka [ Lords of the Underground ],['1:16'],['0:01']
The Champ [ The Mohawks ],Black SpiderMan [ Logic feat. Damian Lemar Hudson ],['1:01'],['0:00']
The Champ [ The Mohawks ],Turn Me Up [ Ab-Soul feat. Kendrick Lamar ],['2:47'],['0:00']
The Champ [ The Mohawks ],Stir Fry [ Migos ],['0:02'],['0:01']
The Champ [ The Mohawks ],The Dreamer [ Anderson .Paak feat. Talib Kweli and Timan Family Choir ],['0:40'],['0:00']
The Champ [ The Mohawks ],Lesson 4 [ DJ Shadow ],['5:00'],['0:01']
The Champ [ The Mohawks ],Lookin Ass Nigga [ Nicki Minaj ],['0:45'],['0:00']
The Champ [ The Mohawks ],Keepin' the Faith [ De La Soul ],['0:53'],['0:00']
The Champ [ The Mohawks ],Groove Me [ Guy ],['0:18'],['0:01']
Apache [ Incredible Bongo Band ],Apache [ Sugarhill Gang ],['0:00'],['0:00']
Apache [ Incredible Bongo Band ],Made You Look [ Nas ],['0:02'],['1:50']
Apache [ Incredible Bongo Band ],That's My Bitch [ Jay-Z and Kanye West ],['0:53'],['0:00']
Apache [ Incredible Bongo Band ],Heliosphan [ Aphex Twin ],['0:55'],['0:00']
Apache [ Incredible Bongo Band ],100 Miles and Running [ Logic feat. Wale and John Lindahl ],['0:00'],['0:00']
Apache [ Incredible Bongo Band ],Xtal [ Aphex Twin ],"['0:59', '2:29']",['0:00']
Apache [ Incredible Bongo Band ],Break Dance - Electric Boogie [ West Street Mob ],['0:07'],['0:03']
Apache [ Incredible Bongo Band ],The Adventures of Grandmaster Flash on the Wheels of Steel [ Grandmaster Flash and The Furious Five ],['0:35'],['0:00']
Apache [ Incredible Bongo Band ],Hip Hop Is Dead [ Nas feat. will.i.am ],['1:05'],['0:01']
Apache [ Incredible Bongo Band ],A Bit Patchy [ Switch ],"['0:00', '1:46']","['0:00', '1:46']"
Apache [ Incredible Bongo Band ],Machete [ Mo ],['1:43'],['0:00']
Apache [ Incredible Bongo Band ],Turn This Mutha Out [ MC Hammer ],['1:00'],['0:00']
Apache [ Incredible Bongo Band ],Protect Ya Neck [ Wu-Tang Clan ],['0:21'],['1:45']
Apache [ Incredible Bongo Band ],The World Is Mine [ Samm Henshaw ],['0:10'],['1:50']
Apache [ Incredible Bongo Band ],Inner City Life [ Goldie feat. Diane Charlemagne ],['2:44'],['0:01']
Apache [ Incredible Bongo Band ],Know How [ Young MC ],['0:16'],['0:01']
"Kool Is Back [ Funk, Inc. ]",The Story of O.J. [ Jay-Z ],['2:39'],['1:46']
"Kool Is Back [ Funk, Inc. ]",Come Clean [ Jeru the Damaja ],['0:11'],['1:48']
"Kool Is Back [ Funk, Inc. ]",Owner of a Lonely Heart [ Yes ],"['0:00', '0:19', '4:36']",['1:45']
"Kool Is Back [ Funk, Inc. ]",The New Style [ Beastie Boys ],['1:00'],['1:45']
"Kool Is Back [ Funk, Inc. ]",Beat Box [ Art of Noise ],['1:22'],['1:45']
"Kool Is Back [ Funk, Inc. ]",Growin' Up in the Hood [ Compton's Most Wanted ],['0:34'],['1:48']
"Kool Is Back [ Funk, Inc. ]",Girl You Know It's True [ Milli Vanilli ],['3:22'],['1:45']
"Kool Is Back [ Funk, Inc. ]",The Full Retard [ El-P ],['0:15'],['1:47']
"Kool Is Back [ Funk, Inc. ]",AJ Scratch [ Kurtis Blow ],['0:49'],['1:45']
"Kool Is Back [ Funk, Inc. ]",Let's Talk About Sex [ Salt-N-Pepa ],['0:50'],['1:48']
"Kool Is Back [ Funk, Inc. ]",Lick the Balls [ Slick Rick ],['0:05'],['1:47']
"Kool Is Back [ Funk, Inc. ]",The Floor (Raw With Bass) [ Johnny Gill ],['0:07'],['1:45']
"Kool Is Back [ Funk, Inc. ]",Deathwish I [ Sid & B-Tonn ],['1:28'],['1:45']
"Kool Is Back [ Funk, Inc. ]",Welcome to the Terrordome [ Public Enemy ],['0:03'],['1:52']
"Kool Is Back [ Funk, Inc. ]",Megablast [ Public Enemy ],['0:00'],['1:48']
"Kool Is Back [ Funk, Inc. ]",Come See Me [ 112 feat. Mr. Cheeks ],['0:03'],['0:00']
UFO [ ESG ],Party and Bullshit [ The Notorious B.I.G. ],['0:00'],['0:18']
UFO [ ESG ],Geek Down [ J Dilla ],['0:08'],['0:18']
UFO [ ESG ],Ain't No Half-Steppin' [ Big Daddy Kane ],['0:04'],['0:18']
UFO [ ESG ],Return of the Mack [ Mark Morrison ],['1:01'],['0:09']
UFO [ ESG ],Yessir! [ MF DOOM feat. Raekwon ],['0:02'],['0:01']
UFO [ ESG ],Let's Ride [ Q-Tip ],['0:36'],['0:18']
UFO [ ESG ],It's My Turn [ Stezo ],['0:05'],['0:18']
UFO [ ESG ],Thun [ Nas ],"['1:08', '1:39']",['0:18']
UFO [ ESG ],Only Wanna Give It to You [ Elle Varner feat. J. Cole ],['0:02'],['0:18']
UFO [ ESG ],Night of the Living Baseheads [ Public Enemy ],['2:10'],['0:18']
UFO [ ESG ],Young Jesus [ Logic feat. Big Lenbo ],['0:10'],['0:18']
UFO [ ESG ],Strictly 4 My N.I.G.G.A.Z. [ 2Pac ],['0:08'],['0:17']
UFO [ ESG ],Fuck Compton [ Tim Dog ],['0:10'],['0:18']
UFO [ ESG ],Who I Am [ Pusha T feat. 2 Chainz and Big Sean ],['0:27'],['0:17']
UFO [ ESG ],Realms of Junior M.A.F.I.A [ Junior M.A.F.I.A. ],['0:01'],['0:18']
UFO [ ESG ],R.I.P. [ Prodigy and The Alchemist feat. Havoc and Raekwon ],['0:29'],['0:00']
It's a New Day [ Skull Snaps ],Passin' Me By [ The Pharcyde ],['0:25'],['0:00']
It's a New Day [ Skull Snaps ],Poison [ The Prodigy ],['1:10'],['0:01']
It's a New Day [ Skull Snaps ],Clubbed to Death (Kurayamino Variation) [ Rob Dougan ],['0:25'],['0:00']
It's a New Day [ Skull Snaps ],Give Up the Goods (Just Step) [ Mobb Deep feat. Big Noyd ],['0:11'],['0:25']
It's a New Day [ Skull Snaps ],Take It Personal [ Gang Starr ],['0:00'],['0:00']
